,ID,Name,Frequency [MHz],Bandwidth [kHz]/Baud,Status,Description,Source,Orbit
137,55257,2023-007K,None,None,Active,None,CelesTrak,LEO
138,55258,2023-007L,None,None,Active,None,CelesTrak,LEO
139,55259,2023-007M,None,None,Active,None,CelesTrak,LEO
140,55260,2023-007N,None,None,Active,None,CelesTrak,LEO
141,55261,2023-007P,None,None,Active,None,CelesTrak,LEO
142,55836,2023-030A,None,None,Active,None,CelesTrak,MEO
143,55837,2023-030B,None,None,Active,None,CelesTrak,MEO
144,55908,2023-035A,None,None,Active,None,CelesTrak,MEO
145,56153,2023-047A,None,None,Active,None,CelesTrak,LEO
146,56154,2023-047B,None,None,Active,None,CelesTrak,LEO
147,56155,2023-047C,None,None,Active,None,CelesTrak,LEO
148,56156,2023-047D,None,None,Active,None,CelesTrak,LEO
149,56157,2023-048A,None,None,Active,None,CelesTrak,MEO
150,56159,2023-049A,None,None,Active,None,CelesTrak,LEO
151,56207,2023-054AF,None,None,Active,None,CelesTrak,LEO
152,56183,2023-054F,None,None,Active,None,CelesTrak,LEO
153,56746,2023-072D,None,None,Active,None,CelesTrak,LEO
154,56747,2023-072E,None,None,Active,None,CelesTrak,LEO
155,56748,2023-072F,None,None,Active,None,CelesTrak,LEO
156,56749,2023-072G,None,None,Active,None,CelesTrak,LEO
157,56750,2023-072H,None,None,Active,None,CelesTrak,LEO
158,56846,2023-081A,None,None,Active,None,CelesTrak,LEO
159,56870,2023-081AA,None,None,Active,None,CelesTrak,LEO
160,56871,2023-081AB,None,None,Active,None,CelesTrak,LEO
161,56872,2023-081AC,None,None,Active,None,CelesTrak,LEO
162,56847,2023-081B,None,None,Active,None,CelesTrak,LEO
163,56848,2023-081C,None,None,Active,None,CelesTrak,LEO
164,56849,2023-081D,None,None,Active,None,CelesTrak,LEO
165,56850,2023-081E,None,None,Active,None,CelesTrak,LEO
166,56851,2023-081F,None,None,Active,None,CelesTrak,LEO
167,56852,2023-081G,None,None,Active,None,CelesTrak,LEO
168,56853,2023-081H,None,None,Active,None,CelesTrak,LEO
169,56854,2023-081J,None,None,Active,None,CelesTrak,LEO
170,56855,2023-081K,None,None,Active,None,CelesTrak,LEO
171,56856,2023-081L,None,None,Active,None,CelesTrak,LEO
172,56857,2023-081M,None,None,Active,None,CelesTrak,LEO
173,56858,2023-081N,None,None,Active,None,CelesTrak,LEO
174,56859,2023-081P,None,None,Active,None,CelesTrak,LEO
175,56860,2023-081Q,None,None,Active,None,CelesTrak,LEO
176,56861,2023-081R,None,None,Active,None,CelesTrak,LEO
177,56862,2023-081S,None,None,Active,None,CelesTrak,LEO
178,56863,2023-081T,None,None,Active,None,CelesTrak,LEO
179,56864,2023-081U,None,None,Active,None,CelesTrak,LEO
180,56865,2023-081V,None,None,Active,None,CelesTrak,LEO
181,56866,2023-081W,None,None,Active,None,CelesTrak,LEO
182,56867,2023-081X,None,None,Active,None,CelesTrak,LEO
183,56868,2023-081Y,None,None,Active,None,CelesTrak,LEO
184,56932,2023-084A,None,None,Active,None,CelesTrak,LEO
185,56960,2023-084AE,None,None,Active,None,CelesTrak,LEO
186,56935,2023-084D,None,None,Active,None,CelesTrak,LEO
187,56936,2023-084E,None,None,Active,None,CelesTrak,LEO
188,56938,2023-084G,None,None,Active,None,CelesTrak,LEO
189,56941,2023-084K,None,None,Active,None,CelesTrak,LEO
190,56945,2023-084P,None,None,Active,None,CelesTrak,LEO
191,56948,2023-084S,None,None,Active,None,CelesTrak,LEO
192,57004,2023-085A,None,None,Active,None,CelesTrak,LEO
193,57028,2023-085AA,None,None,Active,None,CelesTrak,LEO
194,57029,2023-085AB,None,None,Active,None,CelesTrak,LEO
195,57030,2023-085AC,None,None,Active,None,CelesTrak,LEO
196,57031,2023-085AD,None,None,Active,None,CelesTrak,LEO
197,57032,2023-085AE,None,None,Active,None,CelesTrak,LEO
198,57033,2023-085AF,None,None,Active,None,CelesTrak,LEO
199,57034,2023-085AG,None,None,Active,None,CelesTrak,LEO
200,57035,2023-085AH,None,None,Active,None,CelesTrak,LEO
201,57036,2023-085AJ,None,None,Active,None,CelesTrak,LEO
202,57037,2023-085AK,None,None,Active,None,CelesTrak,LEO
203,57038,2023-085AL,None,None,Active,None,CelesTrak,LEO
204,57039,2023-085AM,None,None,Active,None,CelesTrak,LEO
205,57040,2023-085AN,None,None,Active,None,CelesTrak,LEO
206,57041,2023-085AP,None,None,Active,None,CelesTrak,LEO
207,57042,2023-085AQ,None,None,Active,None,CelesTrak,LEO
208,57043,2023-085AR,None,None,Active,None,CelesTrak,LEO
209,57044,2023-085AS,None,None,Active,None,CelesTrak,LEO
210,57005,2023-085B,None,None,Active,None,CelesTrak,LEO
211,57006,2023-085C,None,None,Active,None,CelesTrak,LEO
212,57007,2023-085D,None,None,Active,None,CelesTrak,LEO
213,57008,2023-085E,None,None,Active,None,CelesTrak,LEO
214,57009,2023-085F,None,None,Active,None,CelesTrak,LEO
215,57010,2023-085G,None,None,Active,None,CelesTrak,LEO
216,57011,2023-085H,None,None,Active,None,CelesTrak,LEO
217,57012,2023-085J,None,None,Active,None,CelesTrak,LEO
218,57013,2023-085K,None,None,Active,None,CelesTrak,LEO
219,57014,2023-085L,None,None,Active,None,CelesTrak,LEO
220,57015,2023-085M,None,None,Active,None,CelesTrak,LEO
221,57016,2023-085N,None,None,Active,None,CelesTrak,LEO
222,57017,2023-085P,None,None,Active,None,CelesTrak,LEO
223,57018,2023-085Q,None,None,Active,None,CelesTrak,LEO
224,57019,2023-085R,None,None,Active,None,CelesTrak,LEO
225,57020,2023-085S,None,None,Active,None,CelesTrak,LEO
226,57021,2023-085T,None,None,Active,None,CelesTrak,LEO
227,57022,2023-085U,None,None,Active,None,CelesTrak,LEO
228,57023,2023-085V,None,None,Active,None,CelesTrak,LEO
229,57024,2023-085W,None,None,Active,None,CelesTrak,LEO
230,57025,2023-085X,None,None,Active,None,CelesTrak,LEO
231,57026,2023-085Y,None,None,Active,None,CelesTrak,LEO
232,57027,2023-085Z,None,None,Active,None,CelesTrak,LEO
233,57196,2023-091AG,None,None,Active,None,CelesTrak,LEO
234,57200,2023-091AL,None,None,Active,None,CelesTrak,LEO
235,57206,2023-091AS,None,None,Active,None,CelesTrak,LEO
236,57168,2023-091C,None,None,Active,None,CelesTrak,LEO
237,57169,2023-091D,None,None,Active,None,CelesTrak,LEO
238,57170,2023-091E,None,None,Active,None,CelesTrak,LEO
239,57171,2023-091F,None,None,Active,None,CelesTrak,LEO
240,57173,2023-091H,None,None,Active,None,CelesTrak,LEO
241,57174,2023-091J,None,None,Active,None,CelesTrak,LEO
242,57179,2023-091P,None,None,Active,None,CelesTrak,LEO
243,57181,2023-091R,None,None,Active,None,CelesTrak,LEO
244,57183,2023-091T,None,None,Active,None,CelesTrak,LEO
245,57288,2023-095A,None,None,Active,None,CelesTrak,MEO
246,57421,2023-103A,None,None,Active,None,CelesTrak,LEO
247,57422,2023-103B,None,None,Active,None,CelesTrak,LEO
248,57424,2023-104A,None,None,Active,None,CelesTrak,LEO
249,57425,2023-104B,None,None,Active,None,CelesTrak,LEO
250,57426,2023-104C,None,None,Active,None,CelesTrak,LEO
251,57427,2023-104D,None,None,Active,None,CelesTrak,LEO
252,57482,2023-109B,None,None,Active,None,CelesTrak,LEO
253,57483,2023-109C,None,None,Active,None,CelesTrak,LEO
254,57484,2023-109D,None,None,Active,None,CelesTrak,LEO
255,57485,2023-109E,None,None,Active,None,CelesTrak,LEO
256,57580,2023-117A,None,None,Active,None,CelesTrak,LEO
257,57581,2023-117B,None,None,Active,None,CelesTrak,LEO
258,57582,2023-117C,None,None,Active,None,CelesTrak,LEO
259,57583,2023-117D,None,None,Active,None,CelesTrak,LEO
260,57584,2023-117E,None,None,Active,None,CelesTrak,LEO
261,57585,2023-117F,None,None,Active,None,CelesTrak,LEO
262,57586,2023-117G,None,None,Active,None,CelesTrak,LEO
263,57626,2023-121A,None,None,Active,None,CelesTrak,MEO
264,57627,2023-121B,None,None,Active,None,CelesTrak,MEO
265,57628,2023-121C,None,None,Active,None,CelesTrak,MEO
266,57629,2023-121D,None,None,Active,None,CelesTrak,MEO
267,57630,2023-121E,None,None,Active,None,CelesTrak,MEO
268,57654,2023-123A,None,None,Active,None,CelesTrak,MEO
269,57727,2023-130A,None,None,Active,None,CelesTrak,LEO
270,57728,2023-130B,None,None,Active,None,CelesTrak,LEO
271,57729,2023-130C,None,None,Active,None,CelesTrak,LEO
272,49324,21091K Unknown Sat 2,435.775,6666.0,active,Mode U - BPSK 6666,SatNOGS,None
